file_name,id,age_YYMMDD,date_YYYYMMDD,gender,timestamp_HHMMSS,percents_voc,researcher_present,sleeping
267-12mo_01-01-2013_0279.wav,267-12mo,1/1/13,1/1/14,male,02:19:30,0,0,1
267-12mo_01-01-2013_0280.wav,267-12mo,1/1/13,1/1/14,male,02:20:00,0,0,1
267-12mo_01-01-2013_0281.wav,267-12mo,1/1/13,1/1/14,male,02:20:30,0,0,1
267-12mo_01-01-2013_0282.wav,267-12mo,1/1/13,1/1/14,male,02:21:00,0,0,1
267-12mo_01-01-2013_0283.wav,267-12mo,1/1/13,1/1/14,male,02:21:30,0,0,1
267-12mo_01-01-2013_0284.wav,267-12mo,1/1/13,1/1/14,male,02:22:00,0,0,1
267-12mo_01-01-2013_0285.wav,267-12mo,1/1/13,1/1/14,male,02:22:30,0,0,1
267-12mo_01-01-2013_0286.wav,267-12mo,1/1/13,1/1/14,male,02:23:00,0,0,1
267-12mo_01-01-2013_0287.wav,267-12mo,1/1/13,1/1/14,male,02:23:30,0,0,1
267-12mo_01-01-2013_0288.wav,267-12mo,1/1/13,1/1/14,male,02:24:00,0,0,1
267-12mo_01-01-2013_0289.wav,267-12mo,1/1/13,1/1/14,male,02:24:30,0,0,1
267-12mo_01-01-2013_0290.wav,267-12mo,1/1/13,1/1/14,male,02:25:00,0,0,1
267-12mo_01-01-2013_0291.wav,267-12mo,1/1/13,1/1/14,male,02:25:30,0,0,1
267-12mo_01-01-2013_0292.wav,267-12mo,1/1/13,1/1/14,male,02:26:00,0,0,1
267-12mo_01-01-2013_0293.wav,267-12mo,1/1/13,1/1/14,male,02:26:30,0,0,1
267-12mo_01-01-2013_0294.wav,267-12mo,1/1/13,1/1/14,male,02:27:00,0,0,1
267-12mo_01-01-2013_0295.wav,267-12mo,1/1/13,1/1/14,male,02:27:30,0,0,1
267-12mo_01-01-2013_0296.wav,267-12mo,1/1/13,1/1/14,male,02:28:00,0,0,1
267-12mo_01-01-2013_0297.wav,267-12mo,1/1/13,1/1/14,male,02:28:30,0,0,1
267-12mo_01-01-2013_0298.wav,267-12mo,1/1/13,1/1/14,male,02:29:00,0,0,1
267-12mo_01-01-2013_0299.wav,267-12mo,1/1/13,1/1/14,male,02:29:30,0,0,1
267-12mo_01-01-2013_0300.wav,267-12mo,1/1/13,1/1/14,male,02:30:00,0,0,1
267-12mo_01-01-2013_0301.wav,267-12mo,1/1/13,1/1/14,male,02:30:30,0,0,1
267-12mo_01-01-2013_0302.wav,267-12mo,1/1/13,1/1/14,male,02:31:00,0,0,1
267-12mo_01-01-2013_0303.wav,267-12mo,1/1/13,1/1/14,male,02:31:30,0,0,1
267-12mo_01-01-2013_0304.wav,267-12mo,1/1/13,1/1/14,male,02:32:00,0,0,1
267-12mo_01-01-2013_0305.wav,267-12mo,1/1/13,1/1/14,male,02:32:30,0,0,1
267-12mo_01-01-2013_0306.wav,267-12mo,1/1/13,1/1/14,male,02:33:00,0,0,1
267-12mo_01-01-2013_0307.wav,267-12mo,1/1/13,1/1/14,male,02:33:30,0,0,1
267-12mo_01-01-2013_0308.wav,267-12mo,1/1/13,1/1/14,male,02:34:00,0.000333333,0,1
